[04Jul2025 14:51:20.766] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forge_server, nogui]
[04Jul2025 14:51:20.768] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Ubuntu OpenJDK 64-Bit Server VM 21.0.7+6-Ubuntu-0ubuntu124.04
[04Jul2025 14:51:20.769] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.2.4 starting: java version 21.0.7 by Ubuntu; OS Linux arch amd64 version 6.8.0-1027-azure
[04Jul2025 14:51:20.858] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forge_server
[04Jul2025 14:51:20.967] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=jar:file:///workspaces/bauti/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.7/mixin-0.8.7.jar!/ Service=ModLauncher Env=SERVER
[04Jul2025 14:51:21.192] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[04Jul2025 14:51:22.150] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forge_server' with arguments [nogui]
[04Jul2025 14:51:27.093] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 54.1.0, for MC 1.21.4 with MCP 20241203.143248
[04Jul2025 14:51:27.094] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v54.1.0 Initialized
[04Jul2025 14:51:27.113] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Opening jdk.naming.dns/com.sun.jndi.dns to java.naming
[04Jul2025 14:51:27.319] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/bauti/servidor_minecraft/config/forge-common.toml is not correct. Correcting
[04Jul2025 14:51:27.320] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general was corrected from null to its default, SynchronizedConfig{DataHolder:{}}. 
[04Jul2025 14:51:27.321] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.logLegacyTagWarnings was corrected from null to its default, OFF. 
[04Jul2025 14:51:27.514] [Forge Version Check/INFO] [net.minecraftforge.fml.VersionChecker/]: [forge] Starting version check at https://files.minecraftforge.net/net/minecraftforge/forge/promotions_slim.json
[04Jul2025 14:51:28.061] [Forge Version Check/INFO] [net.minecraftforge.fml.VersionChecker/]: [forge] Found status: UP_TO_DATE Current: 54.1.0 Target: null
[04Jul2025 14:51:28.471] [main/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService/]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[04Jul2025 14:51:28.644] [main/WARN] [net.minecraftforge.common.ForgeHooks/WP]: The following mods have version differences that were not resolved:
forge (version 51.0.33 -> 54.1.0)
Things may not work well.
[04Jul2025 14:51:28.717] [main/ERROR] [net.minecraftforge.registries.GameData/REGISTRIES]: Unidentified mapping from registry minecraft:entity_type
	minecraft:boat: 10
	minecraft:chest_boat: 17

[04Jul2025 14:51:28.726] [main/ERROR] [net.minecraftforge.registries.GameData/REGISTRIES]: Unidentified mapping from registry minecraft:sound_event
	minecraft:entity.goat.screaming.horn_break: 626
	minecraft:item.goat_horn.play: 617

[04Jul2025 14:51:28.729] [main/WARN] [net.minecraftforge.registries.GameData/REGISTRIES]: Forge Mod Loader detected missing registry entries.

There are 4 missing entries in this save.
If you continue the missing entries will get removed.
A world backup will be automatically created in your saves directory.


[04Jul2025 14:51:28.729] [main/WARN] [net.minecraftforge.registries.GameData/REGISTRIES]: Missing minecraft:sound_event:
    minecraft:entity.goat.screaming.horn_break
    minecraft:item.goat_horn.play

Missing minecraft:entity_type:
    minecraft:boat
    minecraft:chest_boat


[04Jul2025 14:51:28.729] [main/ERROR] [net.minecraftforge.registries.GameData/REGISTRIES]: There are unidentified mappings in this world - we are going to attempt to process anyway
[04Jul2025 14:51:28.737] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:resin_brick_wall Expected: 344 Got: 1079
[04Jul2025 14:51:28.737] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:chiseled_resin_bricks Expected: 345 Got: 1080
[04Jul2025 14:51:28.737] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:potted_pale_oak_sapling Expected: 385 Got: 1081
[04Jul2025 14:51:28.737] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:pale_oak_button Expected: 414 Got: 1082
[04Jul2025 14:51:28.738] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:pale_oak_stairs Expected: 483 Got: 1083
[04Jul2025 14:51:28.738] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:pale_oak_slab Expected: 570 Got: 1084
[04Jul2025 14:51:28.738] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:pale_oak_fence_gate Expected: 598 Got: 1085
[04Jul2025 14:51:28.738] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:pale_oak_fence Expected: 607 Got: 1086
[04Jul2025 14:51:28.739] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:block: Object did not get ID it asked for. Name: minecraft:pale_oak_door Expected: 616 Got: 1087
[04Jul2025 14:51:28.740] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_planks Expected: 43 Got: 1333
[04Jul2025 14:51:28.740] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_sapling Expected: 56 Got: 1334
[04Jul2025 14:51:28.740] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_log Expected: 140 Got: 1335
[04Jul2025 14:51:28.741] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:stripped_pale_oak_log Expected: 155 Got: 1336
[04Jul2025 14:51:28.741] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:stripped_pale_oak_wood Expected: 166 Got: 1337
[04Jul2025 14:51:28.741] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_wood Expected: 177 Got: 1338
[04Jul2025 14:51:28.741] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_leaves Expected: 189 Got: 1339
[04Jul2025 14:51:28.742] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:open_eyeblossom Expected: 226 Got: 1340
[04Jul2025 14:51:28.742] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:closed_eyeblossom Expected: 227 Got: 1341
[04Jul2025 14:51:28.742] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_moss_carpet Expected: 257 Got: 1342
[04Jul2025 14:51:28.742] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_hanging_moss Expected: 258 Got: 1343
[04Jul2025 14:51:28.743] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_moss_block Expected: 259 Got: 1344
[04Jul2025 14:51:28.743] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_slab Expected: 271 Got: 1345
[04Jul2025 14:51:28.743] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:creaking_heart Expected: 312 Got: 1346
[04Jul2025 14:51:28.743] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_fence Expected: 332 Got: 1347
[04Jul2025 14:51:28.744] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:resin_clump Expected: 376 Got: 1348
[04Jul2025 14:51:28.744] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:resin_block Expected: 377 Got: 1349
[04Jul2025 14:51:28.745] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:resin_bricks Expected: 378 Got: 1350
[04Jul2025 14:51:28.745] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:resin_brick_stairs Expected: 379 Got: 1351
[04Jul2025 14:51:28.746] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:resin_brick_slab Expected: 380 Got: 1352
[04Jul2025 14:51:28.746] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:resin_brick_wall Expected: 381 Got: 1353
[04Jul2025 14:51:28.747] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:chiseled_resin_bricks Expected: 382 Got: 1354
[04Jul2025 14:51:28.747] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_stairs Expected: 412 Got: 1355
[04Jul2025 14:51:28.747] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_button Expected: 714 Got: 1356
[04Jul2025 14:51:28.748] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_pressure_plate Expected: 730 Got: 1357
[04Jul2025 14:51:28.748] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_door Expected: 743 Got: 1358
[04Jul2025 14:51:28.748] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_trapdoor Expected: 764 Got: 1359
[04Jul2025 14:51:28.749] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_fence_gate Expected: 784 Got: 1360
[04Jul2025 14:51:28.749] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_boat Expected: 817 Got: 1361
[04Jul2025 14:51:28.749] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_chest_boat Expected: 818 Got: 1362
[04Jul2025 14:51:28.749] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_sign Expected: 924 Got: 1363
[04Jul2025 14:51:28.750] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pale_oak_hanging_sign Expected: 936 Got: 1364
[04Jul2025 14:51:28.751] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:white_bundle Expected: 964 Got: 1365
[04Jul2025 14:51:28.751] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:orange_bundle Expected: 965 Got: 1366
[04Jul2025 14:51:28.752] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:magenta_bundle Expected: 966 Got: 1367
[04Jul2025 14:51:28.752] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:light_blue_bundle Expected: 967 Got: 1368
[04Jul2025 14:51:28.752] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:yellow_bundle Expected: 968 Got: 1369
[04Jul2025 14:51:28.752] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:lime_bundle Expected: 969 Got: 1370
[04Jul2025 14:51:28.753] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:pink_bundle Expected: 970 Got: 1371
[04Jul2025 14:51:28.753] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:gray_bundle Expected: 971 Got: 1372
[04Jul2025 14:51:28.753] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:light_gray_bundle Expected: 972 Got: 1373
[04Jul2025 14:51:28.754] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:cyan_bundle Expected: 973 Got: 1374
[04Jul2025 14:51:28.754] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:purple_bundle Expected: 974 Got: 1375
[04Jul2025 14:51:28.754] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:blue_bundle Expected: 975 Got: 1376
[04Jul2025 14:51:28.755] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:brown_bundle Expected: 976 Got: 1377
[04Jul2025 14:51:28.755] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:green_bundle Expected: 977 Got: 1378
[04Jul2025 14:51:28.756] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:red_bundle Expected: 978 Got: 1379
[04Jul2025 14:51:28.756] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:black_bundle Expected: 979 Got: 1380
[04Jul2025 14:51:28.756] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:creaking_spawn_egg Expected: 1133 Got: 1381
[04Jul2025 14:51:28.757] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:resin_brick Expected: 1167 Got: 1382
[04Jul2025 14:51:28.757] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:field_masoned_banner_pattern Expected: 1254 Got: 1383
[04Jul2025 14:51:28.757] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:item: Object did not get ID it asked for. Name: minecraft:bordure_indented_banner_pattern Expected: 1255 Got: 1384
[04Jul2025 14:51:28.758] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:ui.hud.bubble_pop Expected: 210 Got: 1611
[04Jul2025 14:51:28.758] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:item.bundle.insert_fail Expected: 225 Got: 1612
[04Jul2025 14:51:28.758] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.ambient Expected: 374 Got: 1613
[04Jul2025 14:51:28.758] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.activate Expected: 375 Got: 1614
[04Jul2025 14:51:28.758] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.deactivate Expected: 376 Got: 1615
[04Jul2025 14:51:28.758] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.attack Expected: 377 Got: 1616
[04Jul2025 14:51:28.759] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.death Expected: 378 Got: 1617
[04Jul2025 14:51:28.759] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.step Expected: 379 Got: 1618
[04Jul2025 14:51:28.759] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.freeze Expected: 380 Got: 1619
[04Jul2025 14:51:28.759] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.unfreeze Expected: 381 Got: 1620
[04Jul2025 14:51:28.760] [main/WARN] [net.minecraftforge.registries.ForgeRegistry/REGISTRIES]: Registry minecraft:sound_event: Object did not get ID it asked for. Name: minecraft:entity.creaking.spawn Expected: 382 Got: 1621
